vial,block,treat,pop,eeF_mod,eeM_mod,WTF_mod,WTM_mod,totF_mod,totM_mod,totee_mod,totWT_mod,total_mod
B2:3,2,1,9,10.86956522,9.666666667,8.578947368,10.23076923,10.2,10.125,10.73076923,9.533333333,9.666666667
B2:4,2,1,9,9.594594595,8.1,8.454545455,10.23076923,9.333333333,9.304347826,9.070175439,9.702702703,8.1
B2:5,2,1,9,11.45070423,12,11.12612613,12.23636364,11.25274725,12.07027027,11.80597015,11.4939759,12
B2:6,2,1,9,11,10.34545455,10.73333333,10.88679245,10.86813187,10.61111111,10.64356436,10.81632653,10.34545455
B2:7,2,1,9,10.86666667,10.41176471,10.94594595,10.6744186,10.90243902,10.55844156,10.67088608,10.8,10.41176471
B2:8,2,1,10,8.590909091,8.384615385,7,8.571428571,8,8.481481481,8.514285714,7.814814815,8.384615385
B2:9,2,1,10,11.35294118,11.49122807,10.88235294,10.70909091,11.11764706,11.10714286,11.42592593,10.79245283,11.49122807
B2:10,2,1,10,10.75510204,11.16,9.137931034,11.45714286,9.878504673,11.33333333,10.95959596,10.40625,11.16
B2:11,2,1,10,11,11.52173913,8.090909091,11.1,9.315789474,11.3255814,11.38709677,10.03225806,11.52173913
B2:12,2,1,10,10.86206897,11.02409639,11.24096386,9.894736842,11.08510638,10.66942149,10.95744681,10.81818182,11.02409639
B2:13,2,2,1,10.31428571,11.21621622,4.428571429,9.086956522,8.632653061,10.03614458,10.77777778,8,11.21621622
B2:14,2,1,10,10.2,9.046511628,2.692307692,6.176470588,8.166666667,8.233333333,9.564102564,4.666666667,9.046511628
B2:15,2,1,10,10.52941176,10.82352941,9.153846154,10.6,10.02803738,10.73451327,10.67647059,9.928571429,10.82352941
B2:16,2,1,10,11.6,10.72972973,10.58139535,11.22222222,11,11.02197802,11.11940299,10.93814433,10.72972973
B2:17,2,1,10,9.4,9.903225806,8.103448276,10.36585366,8.8125,10.16666667,9.636363636,9.428571429,9.903225806
B2:18,2,1,10,10.69230769,11.76190476,10,10.5483871,10.36986301,11.24657534,11.24691358,10.26153846,11.76190476
B2:19,2,1,10,9,11.11111111,8.375,11.04545455,8.523809524,11.075,10.85365854,10.33333333,11.11111111
B2:20,2,1,10,10.57692308,10.85964912,9.304347826,11.5625,9.979591837,11.11235955,10.72477064,10.23076923,10.85964912
B2:21,2,2,1,11.51162791,11.36666667,7.842105263,9.093023256,9.790123457,10.41747573,11.42718447,8.50617284,11.36666667
B2:22,2,2,2,12.52,11.36666667,10.4137931,10.66666667,11.60150376,10.94666667,12.00740741,10.56756757,11.36666667
B2:23,2,2,2,11.30769231,12.64285714,10.125,10.88571429,10.65517241,11.66666667,12.2195122,10.64705882,12.64285714
B2:24,2,2,2,9.666666667,11.8,9.666666667,10.29411765,9.666666667,11,11.44444444,10.2,11.8
B2:25,2,2,2,11.78431373,11.34146341,9.682926829,10.66666667,10.84782609,10.95789474,11.58695652,10.24210526,11.34146341
B2:26,2,2,2,11.68292683,11.96428571,6.703703704,10.66666667,9.705882353,11.32727273,11.84536082,9.345679012,11.96428571
B2:27,2,2,2,10.25714286,11.35294118,7.538461538,8.083333333,9.520833333,10.30666667,10.71900826,7.8,11.35294118
B2:28,2,2,2,11.38297872,13.18181818,10.35849057,10.96969697,10.84,11.52272727,11.95652174,10.69747899,13.18181818
B2:29,2,2,1,9.470588235,10.87878788,9.933333333,11.16666667,9.765957447,10.95555556,10.4,10.28571429,10.87878788
B2:30,2,2,2,12.82608696,12.7826087,11.74193548,11.95454545,12.03529412,12.37777778,12.79710145,11.83018868,12.7826087
B2:31,2,2,2,12.26086957,12.95,11.51428571,11.26315789,11.9382716,11.84482759,12.58139535,11.34234234,12.95
B2:32,2,2,2,12.20833333,11.83636364,10.06666667,10.01587302,11.17204301,10.86440678,12.00970874,10.03703704,11.83636364
B2:33,2,2,3,11.76,11.91428571,10.42857143,10.82352941,11.05660377,11.37681159,11.82352941,10.57777778,11.91428571
B2:34,2,2,3,10.89473684,12.2195122,6.166666667,8.407407407,9.76,10.70588235,11.58227848,7.717948718,12.2195122
B2:35,2,2,3,11.67924528,11.52173913,10.2,10.94117647,10.89380531,11.1754386,11.63157895,10.46808511,11.52173913
B2:36,2,2,3,11.57971014,11.91071429,10.23076923,11.47058824,11,11.74444444,11.78453039,10.93333333,11.91071429
B2:37,2,2,3,10.61290323,10.84615385,9.059701493,9.928571429,9.80620155,10.30526316,10.7029703,9.455284553,10.84615385
B2:38,2,2,3,12.20833333,11.81081081,10.74025974,10.49295775,11.304,10.94444444,12.03529412,10.62162162,11.81081081
B2:39,2,2,3,12.13333333,12.16666667,10.69491525,11.49275362,11.42016807,11.83687943,12.15151515,11.125,12.16666667
B2:40,2,2,1,10.23076923,0.6,9.666666667,1.727272727,10.02439024,1.375,8.677419355,6.307692308,0.6
B2:41,2,2,3,11.88888889,12.23809524,8.31147541,9.62962963,10.2481203,10.77083333,12.01754386,8.930434783,12.23809524
B2:42,2,2,3,11.16666667,12.25,11.05555556,8.111111111,11.11904762,10.76,11.6,10.07407407,12.25
B2:43,2,2,3,11.34146341,11.86363636,9.41025641,10.91489362,10.4,11.37362637,11.61176471,10.23255814,11.86363636
B2:44,2,2,3,11.15555556,11.43137255,8.1,10.73770492,10.6,11.05357143,11.25531915,10.08641975,11.43137255
B2:45,2,2,3,12.3,11.85714286,10.24637681,11.35294118,11.20155039,11.5,12.15909091,10.79562044,11.85714286
B2:46,2,2,4,11.05970149,11.02941176,11.43037975,9.787878788,11.26027397,10.62376238,11.04444444,10.94642857,11.02941176
B2:47,2,2,4,10.83529412,10.66666667,7.235294118,10.20987654,10.23529412,10.4248366,10.75796178,9.693877551,10.66666667
B2:48,2,2,4,7.72,10.47826087,7.333333333,6.7,7.558139535,8.720930233,9.041666667,7,10.47826087
B2:49,2,2,4,11.38461538,11.24561404,11.82644628,11.47619048,11.65326633,11.38297872,11.32592593,11.68292683,11.24561404
B2:50,2,2,4,9.96,10.2195122,9.978723404,8.071428571,9.972222222,9.347826087,10.12121212,9.266666667,10.2195122
B2:51,2,2,1,10.84,10.28571429,5.608695652,10.35897436,9.191780822,10.32835821,10.54716981,9.277227723,10.28571429
B2:52,2,2,4,9.259259259,8.724137931,10.65517241,9.235294118,9.982142857,9.05,9.072289157,9.990825688,8.724137931
B2:53,2,2,4,11.04255319,12.39240506,10.20754717,10.7,10.6,11.6618705,11.88888889,10.46902655,12.39240506
B2:54,2,2,4,11.41860465,11.34482759,11.13114754,11.0754717,11.25,11.21621622,11.37623762,11.10526316,11.34482759
B2:55,2,2,4,9.985915493,10.58974359,9.8,9.612244898,9.930693069,10.04545455,10.2,9.683544304,10.58974359
B2:56,2,2,4,9.814814815,8.461538462,8.1,8.304347826,9.085106383,8.387755102,9.150943396,8.209302326,8.461538462
B2:57,2,2,4,9.666666667,11.25641026,9.882352941,9.666666667,9.8,10.49333333,10.7,9.771428571,11.25641026
B2:58,2,2,4,11.57575758,11.61728395,11.73076923,11.16513761,11.6440678,11.35789474,11.59863946,11.34782609,11.61728395
B2:59,2,2,5,12.41463415,12.1627907,10.88679245,11.10526316,11.55319149,11.56,12.28571429,11,12.1627907
B2:60,2,2,5,11.75862069,11.66666667,7.333333333,10,11,10.76271186,11.71428571,9.578947368,11.66666667
B2:61,2,2,5,10.52173913,11.13636364,7.64516129,9.153846154,9.363636364,10.68421053,10.82222222,8.090909091,11.13636364
B2:62,2,2,1,9.888888889,9.666666667,10.06666667,10.97297297,10,10.8313253,9.814814815,10.71153846,9.666666667
B2:63,2,2,5,10.5625,11.08333333,7.333333333,10.42105263,9.681818182,10.79069767,10.875,9.68,11.08333333
B2:64,2,2,5,11.62745098,12.57142857,10.85185185,9.666666667,11.35897436,11.23076923,11.83076923,10.48717949,12.57142857
B2:65,2,2,5,11.79120879,11.23529412,10.66666667,10.38983051,11.60550459,10.69892473,11.64,10.45454545,11.23529412
B2:66,2,2,5,12,11.94444444,10.07692308,9.926829268,10.8372093,10.54237288,11.97142857,9.985074627,11.94444444
B2:67,2,2,5,12,11.9,10.5862069,11.18181818,11.02380952,11.57534247,11.93939394,10.8021978,11.9
B2:68,2,2,5,10.75510204,11.60606061,10,11,10.45679012,11.30769231,11.09756098,10.5,11.60606061
B2:69,2,2,5,11.75,11.93333333,10.42105263,10.06666667,10.93548387,10.81333333,11.85185185,10.22891566,11.93333333
B2:70,2,2,5,11,12,9.150943396,9.680851064,9.727272727,10.74712644,11.625,9.4,12
B2:71,2,2,5,10.29411765,11.71428571,9.666666667,10.42105263,10.2,11.1,11.30508475,10.36585366,11.71428571
B2:72,2,1,6,8.4,10.95744681,9.540540541,10.96363636,9.029850746,10.96078431,9.961038961,10.39130435,10.95744681
B2:73,2,2,1,8.375,9.695652174,4.272727273,4.428571429,6.703703704,7.702702703,9.153846154,4.36,9.695652174
B2:74,2,1,6,9.25,10.23076923,7.666666667,8.333333333,8.571428571,8.807692308,9.689655172,8.176470588,10.23076923
B2:75,2,1,6,10.25,10.76923077,10.36170213,10.32142857,10.3164557,10.53703704,10.57142857,10.33980583,10.76923077
B2:76,2,1,6,10.94594595,11.20689655,10.64179104,10.90769231,10.75,11.04878049,11.10526316,10.77272727,11.20689655
B2:77,2,1,6,10.7260274,11.52,11.56603774,11.75294118,11.22346369,11.66666667,11.04878049,11.64921466,11.52
B2:78,2,1,6,11.52173913,11.19047619,11.23728814,10.48571429,11.36190476,10.75,11.41791045,10.95744681,11.19047619
B2:79,2,1,6,11.02150538,11.93333333,11.79012346,11.74074074,11.37931034,11.86111111,11.46994536,11.77037037,11.93333333
B2:80,2,1,6,9.444444444,10.77419355,10.57142857,11.08163265,10.06930693,10.90990991,10.21495327,10.80952381,10.77419355
B2:81,2,1,6,9.129032258,11,10.18421053,11.30136986,9.878504673,11.14285714,10.48214286,10.73154362,11
B2:82,2,1,6,11.94117647,12.09565217,11.29411765,11,11.61764706,11.72413793,12.03825137,11.15748031,12.09565217
B2:83,2,1,6,10.46938776,11.11538462,11.43478261,11.56470588,11.03389831,11.39416058,10.8019802,11.50649351,11.11538462
B2:84,2,2,1,11.07843137,12.13253012,9.901960784,11.28169014,10.49019608,11.74025974,11.73134328,10.70491803,12.13253012
B2:85,2,1,6,10.67741935,11.48,9.901960784,10.83783784,10.32743363,11.20689655,11.03571429,10.29545455,11.48
B2:86,2,1,7,12.18367347,11.5,10.63333333,11.4,11.59493671,11.45454545,11.89411765,11.01666667,11.5
B2:87,2,1,7,11.7012987,12,11.37333333,12.29411765,11.53947368,12.20325203,11.8,11.8625,12
B2:88,2,1,7,11.51162791,11.54166667,10.94871795,11.18181818,11.24390244,11.39506173,11.52747253,11.05555556,11.54166667
B2:89,2,1,7,11.29213483,8.569230769,10.03296703,11.075,10.65555556,9.951724138,10.14285714,10.52046784,8.569230769
B2:90,2,1,7,10.55555556,10.38461538,11.48484848,11.24390244,11.10810811,10.76344086,10.46391753,11.39252336,10.38461538
B2:91,2,1,7,8.470588235,8.111111111,9.666666667,7.5,8.836734694,7.823529412,8.346153846,8.548387097,8.111111111
B2:92,2,1,7,11.78195489,10.58241758,10.8989899,10.51111111,11.40517241,10.54696133,11.29464286,10.71428571,10.58241758
B2:93,2,1,7,10.08571429,9.571428571,6.2,8.578947368,9.222222222,9.170212766,9.857142857,7.75862069,9.571428571
B2:94,2,1,7,7.896551724,10.63265306,8.9375,7.72,8.442622951,9.648648649,9.615384615,8.403508772,10.63265306
B2:95,2,2,1,11.09302326,12.66037736,9.388888889,10.52112676,10.3164557,11.43548387,11.95833333,10.14018692,12.66037736
B2:96,2,1,7,12.52941176,12.41463415,12.5412844,11.98734177,12.5375,12.20496894,12.45864662,12.30851064,12.41463415
B2:97,2,1,8,10.93548387,11.62745098,11.51612903,12.33333333,11.22580645,11.93333333,11.36585366,11.97142857,11.62745098
B2:98,2,1,8,8.548387097,10.83783784,10.90243902,11.19607843,9.888888889,11.04545455,9.794117647,11.06521739,10.83783784
B2:99,2,1,8,10,9.916666667,9.818181818,11.12765957,9.88,10.51578947,9.951219512,10.36283186,9.916666667
B2:100,2,1,8,7.842105263,9.894736842,9.512820513,9.666666667,8.965517241,9.821428571,9.210526316,9.561403509,9.894736842
B2:101,2,1,8,10,7.214285714,9.888888889,10.3968254,9.941176471,9.417582418,8.852941176,10.18518519,7.214285714
B2:102,2,1,8,10.07317073,10.57647059,10.1372549,9.518518519,10.10869565,10.16546763,10.41269841,9.819047619,10.57647059
B2:103,2,1,8,10.03030303,9.928571429,11.025,11.4,10.57534247,10.65765766,9.983606557,11.17777778,9.928571429
B2:104,2,1,8,8.8,10.66666667,11.53333333,9.666666667,9.971428571,10.33333333,9.684210526,10.83333333,10.66666667
B2:105,2,1,8,10.23076923,10.5,9.315789474,9.833333333,9.6875,10.13636364,10.39393939,9.604651163,10.5
B2:106,2,2,1,10.87234043,12.15384615,10.43589744,10.89285714,10.6744186,11.29268293,11.32876712,10.70526316,12.15384615
B2:107,2,1,8,11.21428571,10.52,9.5,11.97297297,10.5,11.38709677,10.88679245,11.10526316,10.52
B2:108,2,1,8,9.941176471,11,9.216216216,12.33333333,9.444444444,11.81632653,10.5,10.6119403,11
B2:109,2,1,8,10.75,11,10.78947368,10.95238095,10.76271186,10.96551724,10.82142857,10.90163934,11
B2:110,2,1,9,11.62068966,11.05555556,10.48717949,11.18181818,11.16494845,11.11023622,11.30769231,10.89361702,11.05555556
B2:111,2,1,9,9.875,6.2,8.666666667,5.631578947,9.357142857,6,7.955223881,7.325581395,6.2
B2:112,2,1,9,8.259259259,10.65957447,9.052631579,10.88235294,8.723076923,10.79130435,9.783783784,10.22641509,10.65957447
B2:113,2,1,9,11.61728395,12.02222222,11.43478261,12.01449275,11.52023121,12.01886792,11.83040936,11.68322981,12.02222222
B2:114,2,1,9,9.8,10.65517241,7.823529412,11.38596491,9.085106383,11.13953488,10.22033898,10.56756757,10.65517241
B2:115,2,1,9,9.5,9.470588235,3.444444444,11.19047619,7.620689655,10.42105263,9.486486486,8.866666667,9.470588235
B2:116,2,1,9,11.47222222,11.45833333,11.13636364,11.80769231,11.34482759,11.64,11.46666667,11.5,11.45833333
